"geom_wkt","time_start","time_end","fad_class","distance","ndistance","surface","nsurface","number_of_trajectories"
"POLYGON ((-11.0000000000000000 5.0000000000000000, -11.0000000000000000 6.0000000000000000, -10.0000000000000000 6.0000000000000000, -10.0000000000000000 5.0000000000000000, -11.0000000000000000 5.0000000000000000))","2011-02-01","2011-02-28","W",29.413,0.148582022449206,631.293,0.220800065474783,1
"POLYGON ((-12.0000000000000000 0.0000000000000000, -12.0000000000000000 1.0000000000000000, -11.0000000000000000 1.0000000000000000, -11.0000000000000000 0.0000000000000000, -12.0000000000000000 0.0000000000000000))","2012-03-01","2012-03-31","W",100.396,0.507158084038028,2162.424,0.756326081208318,1
"POLYGON ((-12.0000000000000000 0.0000000000000000, -12.0000000000000000 1.0000000000000000, -11.0000000000000000 1.0000000000000000, -11.0000000000000000 0.0000000000000000, -12.0000000000000000 0.0000000000000000))","2012-08-01","2012-08-31","W",112.812,0.569878459067075,2256.238,0.789138321075465,1
"POLYGON ((-12.0000000000000000 -3.0000000000000000, -12.0000000000000000 -2.0000000000000000, -11.0000000000000000 -2.0000000000000000, -11.0000000000000000 -3.0000000000000000, -12.0000000000000000 -3.0000000000000000))","2010-02-01","2010-02-28","W",10.138,0.0512128835409531,357.266,0.124956804830584,1
"POLYGON ((-12.0000000000000000 3.0000000000000000, -12.0000000000000000 4.0000000000000000, -11.0000000000000000 4.0000000000000000, -11.0000000000000000 3.0000000000000000, -12.0000000000000000 3.0000000000000000))","2006-12-01","2006-12-31","W",13.031,0.065827094636236,415.127,0.145194178900052,1
"POLYGON ((-12.0000000000000000 4.0000000000000000, -12.0000000000000000 5.0000000000000000, -11.0000000000000000 5.0000000000000000, -11.0000000000000000 4.0000000000000000, -12.0000000000000000 4.0000000000000000))","2006-12-01","2006-12-31","W",8.633,0.0436102607623839,327.172,0.114431173831352,1
"POLYGON ((-12.0000000000000000 5.0000000000000000, -12.0000000000000000 6.0000000000000000, -11.0000000000000000 6.0000000000000000, -11.0000000000000000 5.0000000000000000, -12.0000000000000000 5.0000000000000000))","2011-02-01","2011-02-28","W",139.264,0.703502763212399,2766.172,0.967492049990277,1
"POLYGON ((-12.0000000000000000 6.0000000000000000, -12.0000000000000000 7.0000000000000000, -11.0000000000000000 7.0000000000000000, -11.0000000000000000 6.0000000000000000, -12.0000000000000000 6.0000000000000000))","2011-02-01","2011-02-28","W",0,0,19.111,0.0066842338680907,1
"POLYGON ((-13.0000000000000000 0.0000000000000000, -13.0000000000000000 1.0000000000000000, -12.0000000000000000 1.0000000000000000, -12.0000000000000000 0.0000000000000000, -13.0000000000000000 0.0000000000000000))","2012-08-01","2012-08-31","W",57.444,0.290182766041282,1303.385,0.455869926228946,1
"POLYGON ((13.0000000000000000 -13.0000000000000000, 13.0000000000000000 -12.0000000000000000, 14.0000000000000000 -12.0000000000000000, 14.0000000000000000 -13.0000000000000000, 13.0000000000000000 -13.0000000000000000))","2012-05-01","2012-05-31","W",0,0,309.017,0.108081309047971,1
"POLYGON ((-13.0000000000000000 4.0000000000000000, -13.0000000000000000 5.0000000000000000, -12.0000000000000000 5.0000000000000000, -12.0000000000000000 4.0000000000000000, -13.0000000000000000 4.0000000000000000))","2012-04-01","2012-04-30","W",46.951,0.237176572808374,1093.524,0.3824692667244,1
"POLYGON ((-13.0000000000000000 -5.0000000000000000, -13.0000000000000000 -4.0000000000000000, -12.0000000000000000 -4.0000000000000000, -12.0000000000000000 -5.0000000000000000, -13.0000000000000000 -5.0000000000000000))","2010-03-01","2010-03-31","W",63.965,0.323124097030683,1433.806,0.501485773924528,1
"POLYGON ((-13.0000000000000000 5.0000000000000000, -13.0000000000000000 6.0000000000000000, -12.0000000000000000 6.0000000000000000, -12.0000000000000000 5.0000000000000000, -13.0000000000000000 5.0000000000000000))","2011-02-01","2011-02-28","W",11.899,0.0601087099283686,257.097,0.0899218499704104,1
"POLYGON ((-13.0000000000000000 6.0000000000000000, -13.0000000000000000 7.0000000000000000, -12.0000000000000000 7.0000000000000000, -12.0000000000000000 6.0000000000000000, -13.0000000000000000 6.0000000000000000))","2011-02-01","2011-02-28","W",106.893,0.539978177189101,2273.259,0.795091559768824,1
"POLYGON ((-14.0000000000000000 3.0000000000000000, -14.0000000000000000 4.0000000000000000, -13.0000000000000000 4.0000000000000000, -13.0000000000000000 3.0000000000000000, -14.0000000000000000 3.0000000000000000))","2013-01-01","2013-01-31","W",33.607,0.169768334697259,826.652,0.289128527838675,1
"POLYGON ((-14.0000000000000000 -4.0000000000000000, -14.0000000000000000 -3.0000000000000000, -13.0000000000000000 -3.0000000000000000, -13.0000000000000000 -4.0000000000000000, -14.0000000000000000 -4.0000000000000000))","2014-05-01","2014-05-31","W",14.74,0.0744602390406046,449.317,0.157152420538376,1
"POLYGON ((-14.0000000000000000 4.0000000000000000, -14.0000000000000000 5.0000000000000000, -13.0000000000000000 5.0000000000000000, -13.0000000000000000 4.0000000000000000, -14.0000000000000000 4.0000000000000000))","2012-04-01","2012-04-30","W",120.479,0.608608896836703,2409.586,0.842773080910323,1
"POLYGON ((-14.0000000000000000 4.0000000000000000, -14.0000000000000000 5.0000000000000000, -13.0000000000000000 5.0000000000000000, -13.0000000000000000 4.0000000000000000, -14.0000000000000000 4.0000000000000000))","2013-01-01","2013-01-31","W",80.894,0.408642237242243,1617.879,0.565866862344865,1
