"geom_wkt","time_start","time_end","fad_class","distance","ndistance","surface","nsurface","number_of_trajectories"
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2010-04-01","2010-04-30","W",0.369,0.000549146367597686,181.11,0.0147917378725607,1
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2010-05-01","2010-05-31","W",94.264,0.140283829797366,1823.418,0.148950830846165,1
"POLYGON ((-7.0000000000000000 -3.0000000000000000, -7.0000000000000000 -2.0000000000000000, -6.0000000000000000 -2.0000000000000000, -6.0000000000000000 -3.0000000000000000, -7.0000000000000000 -3.0000000000000000))","2009-02-01","2009-02-28","B",253.71,0.377571612258018,5494.917,0.448873242289995,3
"POLYGON ((-7.0000000000000000 -3.0000000000000000, -7.0000000000000000 -2.0000000000000000, -6.0000000000000000 -2.0000000000000000, -6.0000000000000000 -3.0000000000000000, -7.0000000000000000 -3.0000000000000000))","2009-03-01","2009-03-31","B",214.076,0.318588232492797,4224.63,0.345104307512742,2
"POLYGON ((-7.0000000000000000 -3.0000000000000000, -7.0000000000000000 -2.0000000000000000, -6.0000000000000000 -2.0000000000000000, -6.0000000000000000 -3.0000000000000000, -7.0000000000000000 -3.0000000000000000))","2009-03-01","2009-03-31","W",130.183,0.193738540848156,2581.375,0.210867854713182,1
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2008-01-01","2008-01-31","W",78.733,0.117170571707503,1509.956,0.123344320007947,1
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2008-05-01","2008-05-31","B",116.64,0.173583827416244,2191.923,0.179053769245197,1
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2009-02-01","2009-02-28","W",142.442,0.211982403505012,2832.074,0.231347296114789,1
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2009-03-01","2009-03-31","B",71.907,0.107012108007715,1438.17,0.117480167456657,3
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2009-04-01","2009-04-30","B",9.58,0.014256970736005,377.914,0.0308685311011007,2
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2009-07-01","2009-07-31","W",0,0,50.562,0.00412735502262142,3
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2009-10-01","2009-10-31","B",0,0,670.56,0.0547745961768071,2
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2009-12-01","2009-12-31","W",229.39,0.34137855084887,4551.66,0.371819179616609,2
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2010-03-01","2010-03-31","W",38.72,0.0576231635593019,780.363,0.0637443332089477,1
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2010-04-01","2010-04-30","W",90.26,0.134325070838393,1783.55,0.145694039355974,1
"POLYGON ((-7.0000000000000000 3.0000000000000000, -7.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000, -6.0000000000000000 3.0000000000000000, -7.0000000000000000 3.0000000000000000))","2010-08-01","2010-08-31","W",0,0,418.106,0.0341517899446277,1
"POLYGON ((-7.0000000000000000 -4.0000000000000000, -7.0000000000000000 -3.0000000000000000, -6.0000000000000000 -3.0000000000000000, -6.0000000000000000 -4.0000000000000000, -7.0000000000000000 -4.0000000000000000))","2009-03-01","2009-03-31","B",29.308,0.0436162106817154,643.048,0.0525271584453403,2
"POLYGON ((-7.0000000000000000 -4.0000000000000000, -7.0000000000000000 -3.0000000000000000, -6.0000000000000000 -3.0000000000000000, -6.0000000000000000 -4.0000000000000000, -7.0000000000000000 -4.0000000000000000))","2009-03-01","2009-03-31","W",71.416,0.106281401052456,1301.221,0.106292890999597,1
"POLYGON ((-7.0000000000000000 -4.0000000000000000, -7.0000000000000000 -3.0000000000000000, -6.0000000000000000 -3.0000000000000000, -6.0000000000000000 -4.0000000000000000, -7.0000000000000000 -4.0000000000000000))","2009-04-01","2009-04-30","W",88.856,0.132235635878753,1680.497,0.137275705518345,1
"POLYGON ((-7.0000000000000000 4.0000000000000000, -7.0000000000000000 5.0000000000000000, -6.0000000000000000 5.0000000000000000, -6.0000000000000000 4.0000000000000000, -7.0000000000000000 4.0000000000000000))","2008-01-01","2008-01-31","W",0,0,218.78,0.0178689761447457,1
"POLYGON ((-7.0000000000000000 4.0000000000000000, -7.0000000000000000 5.0000000000000000, -6.0000000000000000 5.0000000000000000, -6.0000000000000000 4.0000000000000000, -7.0000000000000000 4.0000000000000000))","2008-05-01","2008-05-31","B",0,0,140.884,0.0115057015907206,1
"POLYGON ((-7.0000000000000000 4.0000000000000000, -7.0000000000000000 5.0000000000000000, -6.0000000000000000 5.0000000000000000, -6.0000000000000000 4.0000000000000000, -7.0000000000000000 4.0000000000000000))","2009-03-01","2009-03-31","B",565.729,0.841918768007239,11302.382,0.923281353847602,5
"POLYGON ((-7.0000000000000000 4.0000000000000000, -7.0000000000000000 5.0000000000000000, -6.0000000000000000 5.0000000000000000, -6.0000000000000000 4.0000000000000000, -7.0000000000000000 4.0000000000000000))","2009-04-01","2009-04-30","B",233.14,0.346959306617139,4476.51,0.365680224051047,2
"POLYGON ((-7.0000000000000000 4.0000000000000000, -7.0000000000000000 5.0000000000000000, -6.0000000000000000 5.0000000000000000, -6.0000000000000000 4.0000000000000000, -7.0000000000000000 4.0000000000000000))","2009-07-01","2009-07-31","W",359.553,0.535087327666262,7138.485,0.583135263859907,3
"POLYGON ((-7.0000000000000000 4.0000000000000000, -7.0000000000000000 5.0000000000000000, -6.0000000000000000 5.0000000000000000, -6.0000000000000000 4.0000000000000000, -7.0000000000000000 4.0000000000000000))","2009-12-01","2009-12-31","W",0,0,37.866,0.00309022688076686,2
"POLYGON ((-7.0000000000000000 4.0000000000000000, -7.0000000000000000 5.0000000000000000, -6.0000000000000000 5.0000000000000000, -6.0000000000000000 4.0000000000000000, -7.0000000000000000 4.0000000000000000))","2010-08-01","2010-08-31","W",112,0.166678572278972,1873.463,0.153038974974954,1
"POLYGON ((-7.0000000000000000 -5.0000000000000000, -7.0000000000000000 -4.0000000000000000, -6.0000000000000000 -4.0000000000000000, -6.0000000000000000 -5.0000000000000000, -7.0000000000000000 -5.0000000000000000))","2009-04-01","2009-04-30","W",0,0,210.035,0.0171546026727452,1
"POLYGON ((-8.0000000000000000 0.0000000000000000, -8.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000, -7.0000000000000000 0.0000000000000000, -8.0000000000000000 0.0000000000000000))","2009-03-01","2009-03-31","W",0,0,37.089,0.00302675424637642,1
"POLYGON ((-8.0000000000000000 0.0000000000000000, -8.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000, -7.0000000000000000 0.0000000000000000, -8.0000000000000000 0.0000000000000000))","2009-09-01","2009-09-30","W",8.485,0.0126273900516704,218.579,0.0178525565829536,1
"POLYGON ((-8.0000000000000000 0.0000000000000000, -8.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000, -7.0000000000000000 0.0000000000000000, -8.0000000000000000 0.0000000000000000))","2009-11-01","2009-11-30","W",100.5,0.149564254589614,1974.126,0.161262071237045,1
"POLYGON ((-8.0000000000000000 0.0000000000000000, -8.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000, -7.0000000000000000 0.0000000000000000, -8.0000000000000000 0.0000000000000000))","2010-03-01","2010-03-31","W",69.715,0.103749970235969,1548.768,0.126514847531707,1
"POLYGON ((-8.0000000000000000 0.0000000000000000, -8.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000, -7.0000000000000000 0.0000000000000000, -8.0000000000000000 0.0000000000000000))","2010-04-01","2010-04-30","W",4.419,0.00657636259732838,247.795,0.0202391929875237,1
"POLYGON ((-8.0000000000000000 -1.0000000000000000, -8.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000, -7.0000000000000000 -1.0000000000000000, -8.0000000000000000 -1.0000000000000000))","2009-02-01","2009-02-28","W",20.762,0.0308980403362145,569.748,0.046539328199756,1
"POLYGON ((-8.0000000000000000 -1.0000000000000000, -8.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000, -7.0000000000000000 -1.0000000000000000, -8.0000000000000000 -1.0000000000000000))","2009-03-01","2009-03-31","W",70.311,0.104636938352739,1523.584,0.124457582635325,1
"POLYGON ((-8.0000000000000000 -1.0000000000000000, -8.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000, -7.0000000000000000 -1.0000000000000000, -8.0000000000000000 -1.0000000000000000))","2009-10-01","2009-10-31","W",0,0,81.693,0.00667042655570855,1
"POLYGON ((-8.0000000000000000 -1.0000000000000000, -8.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000, -7.0000000000000000 -1.0000000000000000, -8.0000000000000000 -1.0000000000000000))","2009-11-01","2009-11-30","W",14.981,0.0222947472438508,335.117,0.0273724714691734,1
"POLYGON ((-8.0000000000000000 1.0000000000000000, -8.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000, -7.0000000000000000 1.0000000000000000, -8.0000000000000000 1.0000000000000000))","2009-01-01","2009-01-31","W",56.6,0.0842322070624092,1286.243,0.105069347733316,1
"POLYGON ((-8.0000000000000000 1.0000000000000000, -8.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000, -7.0000000000000000 1.0000000000000000, -8.0000000000000000 1.0000000000000000))","2009-08-01","2009-08-31","W",127.367,0.18954776531657,2503.376,0.204496166154856,1
"POLYGON ((-8.0000000000000000 1.0000000000000000, -8.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000, -7.0000000000000000 1.0000000000000000, -8.0000000000000000 1.0000000000000000))","2009-09-01","2009-09-30","W",81.158,0.12077946043765,1737.818,0.141958221446137,1
"POLYGON ((-8.0000000000000000 1.0000000000000000, -8.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000, -7.0000000000000000 1.0000000000000000, -8.0000000000000000 1.0000000000000000))","2009-11-01","2009-11-30","W",3.615,0.00537984856061147,151.25,0.012352493518766,1
"POLYGON ((-8.0000000000000000 1.0000000000000000, -8.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000, -7.0000000000000000 1.0000000000000000, -8.0000000000000000 1.0000000000000000))","2010-02-01","2010-02-28","W",9.998,0.0148790389789747,220.852,0.0180382365031202,1
