"fad_class","time_start","time_end","geom_wkt","number_of_days","number_of_fad"
"W",2009-06-01,2009-06-30,"POLYGON ((60.0000000000000000 -15.0000000000000000, 60.0000000000000000 -10.0000000000000000, 65.0000000000000000 -10.0000000000000000, 65.0000000000000000 -15.0000000000000000, 60.0000000000000000 -15.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((65.0000000000000000 5.0000000000000000, 65.0000000000000000 10.0000000000000000, 70.0000000000000000 10.0000000000000000, 70.0000000000000000 5.0000000000000000, 65.0000000000000000 5.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((75.0000000000000000 -5.0000000000000000, 75.0000000000000000 0.0000000000000000, 80.0000000000000000 0.0000000000000000, 80.0000000000000000 -5.0000000000000000, 75.0000000000000000 -5.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((90.0000000000000000 0.0000000000000000, 90.0000000000000000 5.0000000000000000, 95.0000000000000000 5.0000000000000000, 95.0000000000000000 0.0000000000000000, 90.0000000000000000 0.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((95.0000000000000000 -5.0000000000000000, 95.0000000000000000 0.0000000000000000, 100.0000000000000000 0.0000000000000000, 100.0000000000000000 -5.0000000000000000, 95.0000000000000000 -5.0000000000000000))",1,2
"W",2009-07-01,2009-07-31,"POLYGON ((0.0000000000000000 0.0000000000000000, 0.0000000000000000 5.0000000000000000, 5.0000000000000000 5.0000000000000000, 5.0000000000000000 0.0000000000000000, 0.0000000000000000 0.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((100.0000000000000000 -20.0000000000000000, 100.0000000000000000 -15.0000000000000000, 105.0000000000000000 -15.0000000000000000, 105.0000000000000000 -20.0000000000000000, 100.0000000000000000 -20.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((40.0000000000000000 -10.0000000000000000, 40.0000000000000000 -5.0000000000000000, 45.0000000000000000 -5.0000000000000000, 45.0000000000000000 -10.0000000000000000, 40.0000000000000000 -10.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((40.0000000000000000 -5.0000000000000000, 40.0000000000000000 0.0000000000000000, 45.0000000000000000 0.0000000000000000, 45.0000000000000000 -5.0000000000000000, 40.0000000000000000 -5.0000000000000000))",1,1
