"fad_id","section_id","pos_id","date","lon_fad","lat_fad","fad_class"
14833,4,3842417,"2011-07-20 00:00:00",-22.7252,-4.69667,"W"
14835,1,3851963,"2011-12-24 22:00:00",-5.4055,-5.97633,"W"
14836,1,3837581,"2011-07-31 01:00:00",-14.075,6.82217,"W"
14843,2,3844919,"2011-07-07 19:00:00",-26.1852,12.9772,"W"
14847,2,3786277,"2011-03-07 20:00:00",7.471,-2.75467,"W"
14848,2,3827208,"2011-09-19 04:00:00",0.890167,-4.00667,"W"
14849,22,3759046,"2011-06-17 03:00:00",-19.2767,11.169,"W"
14850,4,4251442,"2012-07-24 00:00:00",-5.823,1.23417,"B"
14852,2,3717230,"2011-04-14 02:00:00",-19.1217,10.1243,"W"
14859,3,3725039,"2011-05-05 19:00:00",4.80933,-8.64767,"W"
14862,2,4265965,"2012-02-06 22:00:00",3.61133,-4.04267,"W"
14863,36,4917605,"2013-04-25 16:00:00",-4.00967,5.28417,"B"
14863,36,4917643,"2013-04-28 17:00:00",-4.01,5.28417,"B"
14863,36,5071652,"2013-07-18 09:00:00",-3.94767,5.29433,"B"
14865,3,3764290,"2011-06-17 14:00:00",-23.6958,-3.4485,"W"
14873,1,4261074,"2012-01-16 21:00:00",-1.85,-0.832167,"W"
14894,4,3837317,"2011-07-09 04:00:00",3.41267,-1.81767,"W"
14896,4,4259543,"2012-02-28 18:00:00",-29.3975,5.88767,"W"
14898,12,4048083,"2011-01-11 18:08:00",43.5943,-6.6483,"W"
14904,11,4138528,"2011-08-18 05:15:00",48.0062,-5.0505,"W"
14906,12,4150195,"2011-08-12 04:25:00",68.8507,-9.3637,"W"
14906,17,4150611,"2012-04-13 11:25:00",57.4992,-20.1535,"B"
14910,11,4232071,"2011-02-22 18:51:00",58.4448,-11.964,"W"
14912,9,4147922,"2011-02-23 18:32:00",60.4527,-9.8357,"W"
14913,16,4222767,"2011-07-24 01:01:00",104.254,-16.386,"W"
14913,16,4223140,"2012-01-29 13:00:00",99.1875,-21.918,"W"
14914,22,4050000,"2012-01-26 17:16:00",55.4603,-4.6238,"B"
14914,25,4050114,"2012-03-28 15:16:00",41.9278,-17.3928,"B"
14915,16,4074658,"2011-04-05 21:10:00",92.0772,-1.0092,"W"
14916,27,4184647,"2011-10-22 01:09:00",71.5695,-5.8913,"W"
14916,27,4184761,"2012-01-01 01:10:00",71.5697,-5.8912,"W"
14920,19,4065576,"2010-12-26 09:12:00",69.2422,-5.5872,"W"
14921,6,4208451,"2011-03-01 21:58:00",55.7482,-10.0582,"W"
14922,2,4214100,"2010-12-13 11:55:00",78.3622,-5.6055,"W"
14929,25,4083671,"2011-08-14 01:24:00",43.4102,-3.0837,"W"
14929,25,4083896,"2011-11-19 13:59:00",40.8683,-6.5693,"W"
14929,29,4083980,"2011-12-12 04:13:00",57.8663,-4.6663,"W"
14929,29,4084018,"2011-12-31 03:23:00",65.6545,-2.8342,"W"
14940,14,4121434,"2011-02-11 02:19:00",51.4812,-3.7265,"W"
14941,20,4103378,"2011-10-18 02:11:00",48.6853,-7.2745,"W"
14941,33,4103628,"2012-02-17 13:12:00",61.141,-5.8845,"W"
14941,37,4103769,"2012-04-30 01:10:00",73.5855,-4.446,"W"
14942,17,4227276,"2011-07-27 06:52:00",48.0752,-0.2967,"W"
14945,3,4163408,"2010-11-20 13:19:00",-8.8022,42.1363,"W"
14945,11,4163539,"2011-05-25 22:19:00",40.6845,-15.1265,"W"
14947,6,4190434,"2011-01-05 04:27:00",63.9242,-3.7068,"W"
14947,6,4190484,"2011-01-20 09:35:00",74.0753,-4.2173,"W"
14947,11,4190580,"2011-02-06 03:03:00",51.6085,-3.8843,"W"
14947,21,4191262,"2012-01-08 19:27:00",60.8953,5.5345,"W"
14947,26,4191357,"2012-03-01 12:30:00",44.295,1.656,"B"
14951,11,4219725,"2011-07-30 10:17:00",55.4613,-4.6213,"B"
14953,14,4171771,"2011-09-15 22:23:00",55.4612,-4.623,"B"
14955,8,4112591,"2011-01-02 03:23:00",59.2192,-4.5813,"W"
14956,7,4115930,"2011-05-24 19:29:00",55.4612,-4.6228,"B"
14956,10,4116034,"2011-07-15 06:42:00",55.9713,-8.7068,"B"
14956,15,4116249,"2012-01-01 14:29:00",55.4578,-4.6182,"B"
14957,17,4121032,"2011-07-25 13:31:00",53.3737,-2.9088,"W"
14961,5,4216784,"2010-12-19 18:52:00",57.5107,-17.7747,"B"
14961,6,4216859,"2011-01-12 08:36:00",59.2058,-5.5657,"W"
14963,4,4176317,"2011-02-24 05:40:00",54.2455,-8.5313,"W"
14964,20,4156391,"2011-07-14 07:45:00",56.4135,8.5992,"B"
14965,12,4096396,"2011-08-17 15:47:00",76.1997,-5.9895,"W"
14967,14,4241437,"2011-10-19 11:30:00",49.2437,0.2835,"W"
14967,44,4241810,"2012-03-12 01:08:00",80.4565,5.9632,"W"
14967,46,4241827,"2012-03-28 01:01:00",80.4565,5.9632,"W"
14974,13,4143285,"2011-09-04 10:15:00",55.43,2.4535,"W"
14976,15,4189573,"2012-01-31 19:38:00",51.5162,-8.4358,"W"
14977,22,4122234,"2011-12-22 15:44:00",57.358,-10.0372,"W"
14977,22,4122350,"2012-02-18 08:38:00",54.9297,-7.2743,"W"
14980,25,4089725,"2012-01-27 08:45:00",63.0155,-5.1988,"W"
14980,29,6079214,"2012-07-13 00:45:00",83.6702,1.5462,"W"
14982,10,4148861,"2011-04-07 04:13:00",57.7448,-5.591,"W"
14984,11,4087008,"2011-07-09 19:20:00",55.0277,-10.3078,"W"
14986,16,4229699,"2011-07-16 18:32:00",40.3187,-25.4065,"W"
14987,14,4050707,"2011-08-30 13:33:00",51.6752,3.944,"W"
14989,22,4244189,"2011-05-28 02:37:00",57.0213,-15.3875,"B"
14994,10,4179017,"2011-10-28 14:51:00",43.5912,-9.3033,"W"
14995,22,4093438,"2011-06-26 00:57:00",50.5093,5.6767,"W"
14995,31,4093603,"2011-09-25 18:56:00",57.4988,-20.1543,"B"
14995,31,4093605,"2011-09-26 18:56:00",57.4988,-20.1543,"B"
14995,31,4093654,"2011-10-18 10:09:00",49.2257,0.5198,"B"
14995,32,4093660,"2011-10-18 20:01:00",49.4052,0.6523,"W"
14996,20,4114242,"2011-06-03 02:36:00",54.9525,-6.5023,"B"
14996,22,4114371,"2011-06-28 01:58:00",51.8323,-2.797,"W"
14996,22,4114460,"2011-08-11 13:57:00",46.4527,-5.4708,"W"
14997,24,4080086,"2012-01-23 16:01:00",76.3927,-1.6033,"W"
14998,7,4236956,"2010-11-26 20:57:00",-8.8024,42.1363,"W"
14998,13,4237090,"2011-04-28 06:12:00",41.565,-9.786,"W"
14998,27,4237144,"2011-05-26 06:07:00",41.1442,-2.0727,"W"
14998,43,4237228,"2011-09-17 09:10:00",41.144,-2.0728,"W"
14999,7,4247308,"2011-04-10 16:10:00",56.1665,-6.2137,"W"
15000,15,4224820,"2011-11-22 10:15:00",47.496,-1.3738,"W"
15001,31,9739497,"2012-11-09 21:18:00",85.25,-13.3108,"W"
