"fad_id","section","fad_class","id_point","time","geom","lon","lat"
16,1,"W",467211,2008-09-13 21:00:00,"POINT(4.76383 -5.235)",4.76383,-5.235
16,1,"W",467211,2008-09-13 21:00:00,"POINT(4.76383 -5.235)",4.76383,-5.235
16,2,"W",149841,2008-12-29 21:00:00,"POINT(3.84017 -6.71717)",3.84017,-6.71717
16,2,"W",149841,2008-12-29 21:00:00,"POINT(3.84017 -6.71717)",3.84017,-6.71717
16,2,"W",149841,2008-12-29 21:00:00,"POINT(3.84017 -6.71717)",3.84017,-6.71717
16,1,"W",150897,2008-09-05 21:00:00,"POINT(4.965 -4.75217)",4.965,-4.75217
16,1,"W",150897,2008-09-05 21:00:00,"POINT(4.965 -4.75217)",4.965,-4.75217
16,1,"W",150897,2008-09-05 21:00:00,"POINT(4.965 -4.75217)",4.965,-4.75217
16,2,"W",148767,2008-12-26 21:00:00,"POINT(4.05433 -6.72633)",4.05433,-6.72633
16,2,"W",148767,2008-12-26 21:00:00,"POINT(4.05433 -6.72633)",4.05433,-6.72633
16,2,"W",148767,2008-12-26 21:00:00,"POINT(4.05433 -6.72633)",4.05433,-6.72633
16,1,"W",481196,2008-09-14 21:00:00,"POINT(4.8285 -5.30667)",4.8285,-5.30667
16,1,"W",481196,2008-09-14 21:00:00,"POINT(4.8285 -5.30667)",4.8285,-5.30667
16,1,"W",481196,2008-09-14 21:00:00,"POINT(4.8285 -5.30667)",4.8285,-5.30667
16,1,"W",465591,2008-10-12 21:00:00,"POINT(4.69217 -5.58083)",4.69217,-5.58083
16,1,"W",465591,2008-10-12 21:00:00,"POINT(4.69217 -5.58083)",4.69217,-5.58083
16,1,"W",465591,2008-10-12 21:00:00,"POINT(4.69217 -5.58083)",4.69217,-5.58083
16,1,"W",153253,2008-11-21 21:00:00,"POINT(4.9135 -5.55383)",4.9135,-5.55383
16,1,"W",153253,2008-11-21 21:00:00,"POINT(4.9135 -5.55383)",4.9135,-5.55383
16,1,"W",153253,2008-11-21 21:00:00,"POINT(4.9135 -5.55383)",4.9135,-5.55383
16,1,"W",148134,2008-12-16 21:00:00,"POINT(4.68217 -6.54833)",4.68217,-6.54833
16,1,"W",148134,2008-12-16 21:00:00,"POINT(4.68217 -6.54833)",4.68217,-6.54833
16,1,"W",148134,2008-12-16 21:00:00,"POINT(4.68217 -6.54833)",4.68217,-6.54833
16,2,"W",148100,2008-12-31 21:00:00,"POINT(3.69083 -6.75267)",3.69083,-6.75267
16,2,"W",148100,2008-12-31 21:00:00,"POINT(3.69083 -6.75267)",3.69083,-6.75267
16,2,"W",148100,2008-12-31 21:00:00,"POINT(3.69083 -6.75267)",3.69083,-6.75267
